,Jack,saw,[Jack saw],[[Jack saw] Jack],the,boy,ate,my,[the boy],[ate my],[[the boy] [ate my]],[[[the boy] [ate my]] boy],telescope,[my telescope],[[ate my] boy],[[my telescope] [[ate my] boy]],Bob,[Bob saw],hill,[my hill],cookie,[the cookie],[[my hill] ate],[[[my hill] ate] [the cookie]],a,[Bob ate],[[Bob ate] a],[[[Bob ate] a] hill],table,[the table],[[the table] ate],ran,[a telescope],[[a telescope] ran],[[[a telescope] ran] the],[[[[a telescope] ran] the] hill],[a hill],[[a hill] saw],[[[a hill] saw] [a hill]],[[Bob ate] Jack],under,[Jack under],[[Jack under] [the table]],[[[Jack under] [the table]] ate],[[[the table] ate] [the boy]],[telescope ate],[[telescope ate] the],[[[telescope ate] the] hill],[ran the],[Bob [ran the]],[[Bob [ran the]] hill],with,[Bob with],[[Bob with] [Bob ate]],[a cookie],[ate [a cookie]],[[a hill] [ate [a cookie]]],[Jack ran],[[Jack ran] a],[[[Jack ran] a] table],[[the boy] ran],[[Bob with] [[the boy] ran]],[a table],[[a table] ran],[[[a table] ran] under],[[[[a table] ran] under] Bob],[[a hill] ate],[[Bob with] [[a hill] ate]],[[a cookie] saw],[with [[a cookie] saw]],[[the boy] [with [[a cookie] saw]]],[[Jack ran] [my hill]],[Bob ran],[[Jack under] [Bob ran]],[[ran the] hill],[[a hill] [[ran the] hill]],[with [[a hill] [[ran the] hill]]],[the hill],[[the hill] [ate my]],[[[the hill] [ate my]] telescope],[[the hill] saw],[under [[the hill] saw]],[[Jack saw] [the hill]],[ate [a telescope]],[[the cookie] ran],[[[a hill] ate] [the boy]],[Jack ate],[[Jack ate] [a table]],[[a table] with],[[[a table] with] [a cookie]],[[[[a table] with] [a cookie]] ran],[[[[[a table] with] [a cookie]] ran] the],[[[[[[a table] with] [a cookie]] ran] the] cookie],[[Bob saw] a],[[[Bob saw] a] boy],[[[the boy] ran] [my hill]],[[the hill] ate],[[[the hill] ate] [a hill]],[the telescope],[[the telescope] saw],[under [[a hill] ate]],[[under [[a hill] ate]] [a hill]],[with [the cookie]],[[with [the cookie]] saw],[[[with [the cookie]] saw] Jack],[[Bob ate] Bob],[[Jack ran] Bob],[[the telescope] ate],[[[the telescope] ate] [my hill]],[with [Jack ate]],[[with [Jack ate]] [a hill]],[a boy],[[a boy] ran],[under [Jack ran]],[[the telescope] [under [Jack ran]]],[[[the hill] ate] [the hill]],[[[the hill] saw] with],[[[[the hill] saw] with] [a cookie]],[[[a table] with] [[the hill] ate]],[[[[a table] with] [[the hill] ate]] a],[[[[[a table] with] [[the hill] ate]] a] telescope],[Bob under],[[Bob under] [Bob ate]],[[Bob ran] [my hill]],[my cookie],[[my cookie] ran],[[[my cookie] ran] a],[[[[my cookie] ran] a] boy],[[Bob saw] [my hill]],[[[a telescope] ran] [a hill]],[ran Jack],[[Bob under] the],[[[Bob under] the] cookie],[[[[Bob under] the] cookie] ate],[under [Bob saw]],[[[the table] ate] [my hill]],[[Jack under] [[a cookie] saw]],[[[Jack under] [[a cookie] saw]] [my hill]],[[[a hill] ate] [my cookie]],[under [[my hill] ate]],[[the hill] ran],[with [[the hill] ran]],[[with [[the hill] ran]] [my hill]],[[[Bob under] [Bob ate]] [the hill]],[[[a table] with] [the hill]],[[[[a table] with] [the hill]] ate],[[[[[a table] with] [the hill]] ate] [the hill]],[[a hill] ran],[[[a hill] ran] [a hill]],[[with [Jack ate]] Bob],[with [[a telescope] ran]],[[with [[a telescope] ran]] [a table]],[[Bob with] [[the hill] ate]],[[[Bob with] [[the hill] ate]] [my cookie]],[[[the telescope] ate] [the hill]],[[a telescope] ate],[[[Jack under] [Bob ran]] my],[[[[Jack under] [Bob ran]] my] telescope],[[the boy] ate],[[[the boy] ate] Bob],[[[the telescope] ate] [Bob under]],[[[[the telescope] ate] [Bob under]] [my hill]],[[my cookie] with],[[[my cookie] with] [my hill]],[[[[my cookie] with] [my hill]] ran],[[a boy] ate],[with [[my hill] ate]],[[with [[my hill] ate]] [a hill]],[[my telescope] with],[[[my telescope] with] [[a hill] ate]],[with [[a boy] ran]],[[with [[a boy] ran]] [the hill]],[with [[a telescope] ate]],[[with [[a telescope] ate]] [a boy]],[[[Bob saw] a] hill],[[[my cookie] ran] [a cookie]],[[Jack under] [[the hill] ran]],[[[Jack under] [[the hill] ran]] [the telescope]],[with [[the boy] ate]],[[[a boy] ate] [my hill]],[[the cookie] ate],[[[the cookie] ate] [my hill]],[[the table] [ran Jack]],[[the cookie] [with [[the hill] ran]]],[[[the cookie] [with [[the hill] ran]]] [the hill]],[[under [[my hill] ate]] Jack],[[[Bob with] [Bob ate]] [the telescope]],[with [Bob ate]],[[with [Bob ate]] [a cookie]],[[my telescope] [ran Jack]],[[Bob under] [[my telescope] [ran Jack]]],[boy [ran Jack]],[[[the cookie] ate] my],[[[[the cookie] ate] my] table],[with [[the cookie] ate]],[[with [[the cookie] ate]] [a hill]],[[with [[my hill] ate]] Bob],[[my cookie] ate],[[a cookie] [under [Jack ran]]],[[[a cookie] [under [Jack ran]]] [the boy]],[[[my cookie] with] [a boy]],[[[[my cookie] with] [a boy]] saw],[[[[[my cookie] with] [a boy]] saw] the],[[[[[[my cookie] with] [a boy]] saw] the] cookie],[[[my cookie] ate] [a hill]],[[[the cookie] ran] [the cookie]],[[[the telescope] saw] [my telescope]],[[[my cookie] ate] [the telescope]],[with [[a hill] saw]],[[with [[a hill] saw]] [my hill]],[under [[the boy] ate]],[table [under [[the boy] ate]]],[[table [under [[the boy] ate]]] [the hill]],[[Bob under] [[[the hill] ate] [the hill]]],[with [[my cookie] ate]],[[my hill] [under [Bob saw]]],[[[my hill] [under [Bob saw]]] [the hill]],[[with [[my cookie] ate]] Jack]
Jack,0.0,0.9801231735424982,0.9138962073362581,0.9846576733609915,0.9439392204701035,0.5885955814260544,0.9800841328300555,0.9159380239169286,0.06372870062776836,0.9788061322854683,0.9776133366162328,0.9846576733609915,0.6218046957128662,0.05693847157983689,0.9988060446195324,0.9846576733609915,0.009508410724681782,0.9030255282176246,0.6342845486958057,0.0430247243446934,0.6585970478786207,0.07777878676246097,0.8447825693512684,0.9846576733609915,0.916952971892791,0.9190665210918907,1.0385050610200797,0.9846576733609915,0.578981509372335,0.05640289332817372,0.9715776794351445,0.970101832549031,0.08153444974635571,0.9188749071346077,1.0385050610200797,0.9846576733609915,0.0319794535551563,0.8883037676711234,0.9846576733609915,0.9846576733609915,0.9698728904911154,1.0068476369087918,0.3949571470908011,0.9846576733609915,0.9846576733609915,1.023481122482529,1.0385050610200797,0.9846576733609915,1.0300988175031518,1.0385050610200797,0.9846576733609915,0.9780515210674814,1.0046399575821592,1.0061347539803283,0.14955329659644168,0.9964181338585972,0.9846576733609915,0.8874730865271392,0.9844785800539214,0.9846576733609915,0.9692771862157742,0.9846576733609915,0.1660409363503379,0.7883714088121208,1.0,0.9846576733609915,0.9215954098197341,0.9846576733609915,0.932881811295958,1.0,0.9846576733609915,0.9846576733609915,0.8881371564493251,0.9921906509998442,0.9964181338585972,0.8609041981755265,0.9846576733609915,0.026541773271711033,1.0050743103669872,0.9846576733609915,0.8872308472738757,0.9846576733609915,0.9846576733609915,0.9846576733609915,0.9852772219472461,0.9846576733609915,0.892009738852781,0.9846576733609915,0.9722164761509368,0.4943598963719783,1.0274609737507545,1.0361171502591444,0.9846576733609915,0.9515667773302424,0.9846576733609915,0.9846576733609915,0.9278715348492848,0.9846576733609915,0.12500567481030445,0.9826876469832201,1.002984888451169,0.9846576733609915,0.45510088332398047,1.000298488845117,0.9846576733609915,0.9846576733609915,0.9846576733609915,0.9275509368696757,0.9846576733609915,1.0095214171190166,0.9846576733609915,0.05657668489420842,0.8918978694889002,1.0037991427568325,0.9846576733609915,1.0274609737507545,0.9710465820236611,0.9846576733609915,0.9997015111548831,1.0050743103669872,0.9846576733609915,0.9747687659247475,0.9862808733781047,0.9846576733609915,0.19844363416055255,0.9793157783239116,0.9776133366162328,0.9846576733609915,0.9846576733609915,0.9846576733609915,0.9775447199233328,1.0361171502591444,0.3949571470908011,0.9846576733609915,0.9788061322854683,0.9846576733609915,0.9982090669292987,0.9846576733609915,0.9846576733609915,0.9986651173035864,0.9564320256810181,1.0811558600400983,0.9846576733609915,0.9846576733609915,0.3949571470908011,0.9805982250674018,0.9846576733609915,0.874390485109203,0.9846576733609915,0.9846576733609915,1.0610391645680628,0.9846576733609915,1.0132696113610322,0.9846576733609915,0.9846576733609915,0.873257982438916,1.0050743103669872,0.9846576733609915,0.8791866399389364,0.9846576733609915,0.9982090669292987,0.9846576733609915,0.9725617467562092,0.4943598963719783,0.9846576733609915,0.9655690956792433,0.988694496020652,0.9846576733609915,1.030815269027642,0.9846576733609915,0.9883915082430116,0.9846576733609915,0.993763472510898,0.9846576733609915,0.9846576733609915,0.9846576733609915,0.9495553851752446,0.9846576733609915,0.9846576733609915,0.9846576733609915,0.8807989450557084,0.9846576733609915,0.9846576733609915,0.9805982250674018,0.9846576733609915,0.9846576733609915,0.9846576733609915,0.9958990829510852,0.9846576733609915,1.0274609737507545,0.9846576733609915,0.9846576733609915,0.9844785800539214,0.9846576733609915,1.0204511241097756,0.9846576733609915,0.9846576733609915,0.8659252254690513,1.000298488845117,0.9846576733609915,0.6436043189304264,1.0274609737507545,1.0361171502591444,0.9846576733609915,0.9846576733609915,0.9846576733609915,0.9846576733609915,0.9846576733609915,0.9982090669292987,0.9846576733609915,1.005780211630832,0.9805982250674018,0.9846576733609915,0.9846576733609915,0.9890818224750949,0.9805982250674018,0.9846576733609915,0.9846576733609915
saw,0.9801231735424982,-4.440892098500626e-16,0.6814953405870205,1.04084028595273,1.0660150101302717,1.033008215304712,0.02649436363148705,1.067238924493262,0.9867444400385059,0.9253527450137784,1.000428544448612,1.04084028595273,1.0440901583628648,0.9641096512490848,0.949003210615164,1.04084028595273,0.9774561578785003,0.6568103909634071,1.0376372219465282,0.9914031039230903,1.0375804159510207,1.0048886626666644,0.9070247092748365,1.04084028595273,1.067815865617031,0.6966569959556366,1.0411402670667584,1.04084028595273,1.0317124640973179,0.9679342485330129,0.8079206043137077,0.02094982129586409,0.9854888464940866,0.9013571725058239,1.0411402670667584,1.04084028595273,0.9750315732194585,0.8049022514402224,1.04084028595273,1.04084028595273,0.06034475319978483,0.8528470163423698,1.01942419701937,1.04084028595273,1.04084028595273,0.9091485768942417,1.0411402670667584,1.04084028595273,0.7783351336778587,1.0411402670667584,1.04084028595273,0.04903068946920219,0.8181141939810365,0.9456436075198702,0.9779805084403432,0.8992920545761641,1.04084028595273,0.6457762130929436,1.0694242006751549,1.04084028595273,0.7552808567583453,1.04084028595273,0.9597914293024945,0.9978572777569397,0.7343024418605182,1.04084028595273,0.7258910302728074,1.04084028595273,0.821062742121642,0.961430999624914,1.04084028595273,1.04084028595273,0.7773257707765742,0.8593956178568025,0.8992920545761641,1.0419973559639826,1.04084028595273,0.9871174768546281,0.9927147443735949,1.04084028595273,0.7185483745848441,1.04084028595273,1.04084028595273,1.04084028595273,0.8680614858278307,1.04084028595273,0.6862189306797192,1.04084028595273,0.9119988731175713,1.0021427222430603,0.8131546204051385,1.0672814784320945,1.04084028595273,1.0543952759519712,1.04084028595273,1.04084028595273,0.6846858431455936,1.04084028595273,1.0031354870014817,1.006428166729181,0.9412894105401468,1.04084028595273,0.9691442045050487,0.7158750305701993,1.04084028595273,1.04084028595273,1.04084028595273,0.6987725108957417,1.04084028595273,0.6097427893133988,1.04084028595273,0.9770940679637771,0.858359861999773,0.8681833917407523,1.04084028595273,1.0141419668041982,1.0655673006376463,1.04084028595273,0.8525807096774487,0.9927147443735949,1.04084028595273,0.8320530389726176,0.7154579421714171,1.04084028595273,1.0009064283836688,0.9421219030401924,1.000428544448612,1.04084028595273,1.04084028595273,1.04084028595273,0.911135131740617,1.0672814784320945,1.01942419701937,1.04084028595273,0.7660044331182805,1.04084028595273,0.9901434776819225,1.04084028595273,1.04084028595273,0.7008329393315591,0.6487399008146455,0.8471644564635841,1.04084028595273,1.04084028595273,1.01942419701937,0.8632943208927505,1.04084028595273,0.8216655608615386,1.04084028595273,1.04084028595273,1.014455216386508,1.04084028595273,0.8122080281506843,1.04084028595273,1.04084028595273,0.8910334862662832,0.9927147443735949,1.04084028595273,0.8210826927044618,1.04084028595273,0.9901434776819225,1.04084028595273,1.007575667141336,1.0021427222430603,1.04084028595273,0.7767746475382965,0.5970362612088332,1.04084028595273,1.0090908005696033,1.04084028595273,0.86181983134203,1.04084028595273,0.7653721545406845,1.04084028595273,1.04084028595273,1.04084028595273,0.9524315662040606,1.04084028595273,1.04084028595273,1.04084028595273,0.7641882466660733,1.04084028595273,1.04084028595273,0.8632943208927505,1.04084028595273,1.04084028595273,1.04084028595273,0.6764840848529533,1.04084028595273,1.0141419668041982,1.04084028595273,1.04084028595273,1.0694242006751549,1.04084028595273,0.6934524366918338,1.04084028595273,1.04084028595273,0.9236708520217207,0.9725731552888277,1.04084028595273,0.9644308107651984,0.8131546204051385,1.0672814784320945,1.04084028595273,1.04084028595273,1.04084028595273,1.04084028595273,1.04084028595273,0.9901434776819225,1.04084028595273,0.8227760624896228,0.8632943208927505,1.04084028595273,1.04084028595273,0.5457829780561301,0.8632943208927505,1.04084028595273,1.04084028595273
[Jack saw],0.9138962073362581,0.6814953405870205,2.220446049250313e-16,0.9823519317925641,0.9405295026678537,1.0506683877259546,0.7560993044067019,0.9195180929986447,0.9464451443448905,0.9616947468933009,0.9919781508148019,0.9823519317925641,1.063499013964979,0.9289610803406605,0.9679126032592074,0.9823519317925641,0.914283905442483,0.15594528281185693,1.0575734030016646,0.8314663038637663,1.0596567976143736,0.8133195422251939,0.3654698187060589,0.9823519317925641,0.9219566198990469,0.32395384332841515,1.0240655475555944,0.9823519317925641,1.053590168843698,0.9555184296388168,0.6316363016484349,0.7111422307668822,0.900371902007371,0.5714591225480543,1.0240655475555944,0.9823519317925641,0.8732220142700235,0.22285808850899558,0.9823519317925641,0.9823519317925641,0.6798720306034319,0.7459044184473792,1.0084557714905307,0.9823519317925641,0.9823519317925641,1.0160436983703962,1.0240655475555944,0.9823519317925641,0.9869003751351357,1.0240655475555944,0.9823519317925641,0.6495619517755014,0.7191624632040695,0.9434728955266491,0.7705821941197348,1.0,0.9823519317925641,0.181360522981051,1.0,0.9823519317925641,0.37263376438606965,0.9823519317925641,0.8979323326706409,0.951868904888811,0.6791260325920737,0.9823519317925641,0.29762891964795857,0.9823519317925641,0.30514276532759876,1.0160436983703962,0.9823519317925641,0.9823519317925641,0.19958728233704426,0.7674355377831147,1.0,0.4946235013325161,0.9823519317925641,0.906494518377449,0.9679126032592074,0.9823519317925641,0.31835741038545284,0.9823519317925641,0.9823519317925641,0.9823519317925641,0.8325292039782705,0.9823519317925641,0.1676278101611277,0.9823519317925641,0.7609318462162261,1.0160436983703962,0.951868904888811,1.0160436983703962,0.9823519317925641,0.7522691617503318,0.9823519317925641,0.9823519317925641,0.18374573854829623,0.9823519317925641,0.9907327414941571,0.847584865481235,0.9197815081480184,0.9823519317925641,1.0,0.5186890488881106,0.9823519317925641,0.9823519317925641,0.9823519317925641,0.3020148530803872,0.9823519317925641,0.7785065385364205,0.9823519317925641,0.8841601441598204,0.3401410235226152,0.9508400323769186,0.9823519317925641,0.951868904888811,1.056152944296387,0.9823519317925641,0.9598907540740093,0.9679126032592074,0.9823519317925641,0.6470995738942678,0.5462156834792482,0.9823519317925641,0.913396197166249,1.0113446079130188,0.9919781508148019,0.9823519317925641,0.9823519317925641,0.9823519317925641,1.0309478335207631,1.0160436983703962,1.0084557714905307,0.9823519317925641,0.8201318549772392,0.9823519317925641,0.6229730882956865,0.9823519317925641,0.9823519317925641,0.5695023979994949,0.14811004237046665,0.7569771399009987,0.9823519317925641,0.9823519317925641,1.0084557714905307,0.6791260325920737,0.9823519317925641,0.2780313616318907,0.9823519317925641,0.9823519317925641,0.9830884570189387,0.9823519317925641,0.7221149928116357,0.9823519317925641,0.9823519317925641,0.399690612790904,0.9679126032592074,0.9823519317925641,0.4264377832583316,0.9823519317925641,0.6229730882956865,0.9823519317925641,0.7334017140440583,1.0160436983703962,0.9823519317925641,0.4849599956744335,0.7126787550358744,0.9823519317925641,1.028361519782547,0.9823519317925641,0.71638480217453,0.9823519317925641,0.6511061454726929,0.9823519317925641,0.9823519317925641,0.9823519317925641,1.0,0.9823519317925641,0.9823519317925641,0.9823519317925641,0.20216178561499698,0.9823519317925641,0.9823519317925641,0.6791260325920737,0.9823519317925641,0.9823519317925641,0.9823519317925641,0.6070085784862043,0.9823519317925641,0.951868904888811,0.9823519317925641,0.9823519317925641,1.0,0.9823519317925641,0.8256798049922776,0.9823519317925641,0.9823519317925641,0.4002315261517807,0.9358252065184147,0.9823519317925641,0.9919781508148019,0.951868904888811,1.0160436983703962,0.9823519317925641,0.9823519317925641,0.9823519317925641,0.9823519317925641,0.9823519317925641,0.6229730882956865,0.9823519317925641,0.9102465893553822,0.6791260325920737,0.9823519317925641,0.9823519317925641,0.5753973265658466,0.6791260325920737,0.9823519317925641,0.9823519317925641
[[Jack saw] Jack],0.9846576733609915,1.04084028595273,0.9823519317925641,0.0,0.9761417668843977,0.9999005307445525,1.0353028129174702,0.9732100098124489,0.9896000086576374,0.95847726007313,0.98,0.0,0.9901426414309368,0.9833730112576541,1.0,0.0,0.9825084264496253,1.0176674482686012,0.9949459358556229,0.979382774328236,0.990022021730381,0.9651061717388237,0.9918621154122884,0.0,0.9727958736252588,1.0083628156640407,1.0,0.0,0.9923046501364097,0.9766172508688722,0.9943656383018099,1.036107582375076,0.9688117856452121,0.9926145105412401,1.0,0.0,0.973014638863156,0.9798380540363623,0.0,0.0,1.04370027700977,1.0052617005617739,0.9683772233983162,0.0,0.0,0.9933333333333333,1.0,0.0,1.0244948974278318,1.0,0.0,1.0352022134112493,0.9760848809025026,1.0645942241466173,0.97900666479144,1.0,0.0,1.0135526185435788,0.98,0.0,1.0224733287487748,0.0,0.9746746337888899,1.02,1.06,0.0,1.0104131520175093,0.0,0.9646446609406726,0.94,0.0,0.0,0.9912243554738007,0.9858578643762691,1.0,0.96,0.0,0.9776831133027019,1.02,0.0,0.9771030166908347,0.0,0.0,0.0,1.0321182027418787,0.0,1.0074649734709311,0.0,0.9591751709536137,1.02,1.0,0.94,0.0,0.9738288038704893,0.0,0.0,0.9759636509213065,0.0,0.977151679730407,1.0,1.0,0.0,1.0268328157299975,1.02,0.0,0.0,0.0,1.0102365299747995,0.0,1.00342997170285,0.0,0.9760464931209796,0.9637340739632317,1.0094280904158206,0.0,0.98,0.98,0.0,1.02,1.02,0.0,0.9700575264191829,1.014142135623731,0.0,0.9559347350760768,1.0,0.98,0.0,0.0,0.0,1.0096448564434082,0.94,0.9683772233983162,0.0,0.966781808058504,0.0,0.98,0.0,0.0,1.0178885438199983,1.0162308613516058,1.0076696498884736,0.0,0.0,0.9683772233983162,0.96,0.0,1.0,0.0,0.0,1.052704627669473,0.0,1.0577350269189625,0.0,0.0,0.9627895796232374,1.02,0.0,1.015,0.0,0.98,0.0,0.9575735931288072,1.02,0.0,1.0290190500044005,1.0329354787837046,0.0,1.0282842712474618,0.0,0.9717157287525381,0.0,1.021320071635561,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.9797883538944036,0.0,0.0,0.96,0.0,0.0,0.0,1.0072310152606219,0.0,0.98,0.0,0.0,0.98,0.0,1.058800649144965,0.0,0.0,0.9884529946162075,0.94,0.0,1.02,1.0,0.94,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.9655734813670451,0.96,0.0,0.0,1.025819888974716,0.96,0.0,0.0
the,0.9439392204701035,1.0660150101302717,0.9405295026678537,0.9761417668843977,1.1102230246251565e-16,1.0484774729681943,1.070996177281017,0.007186479939545687,0.9459363666795096,0.634347451473509,0.722061940973725,0.9761417668843977,1.0388570286513326,0.9831065165361209,1.0,0.9761417668843977,0.9449378099863809,0.9746233947905055,1.0477775923421553,0.9171778608045995,1.0493818121645464,0.9393981178038874,0.8988766804768527,0.9761417668843977,0.013035273936529035,0.9569074732378683,0.18012038685609666,0.9761417668843977,1.051209306773676,0.9924833020612623,1.035012274586822,1.082333103913824,0.9217961220344424,0.9298147961119713,0.18012038685609666,0.9761417668843977,0.9348198831219271,0.8819449225615136,0.9761417668843977,0.9761417668843977,1.0540272028227586,1.0563173046480032,1.0003969816237441,0.9761417668843977,0.9761417668843977,1.0223455169406852,0.18012038685609666,0.9761417668843977,0.3383354903440875,0.18012038685609666,0.9761417668843977,1.076556473034255,1.0481231332816008,0.9913750364860663,0.9351878101532813,0.9967988163933288,0.9761417668843977,0.9737821993347315,0.7653720721228059,0.9761417668843977,1.041472015615501,0.9761417668843977,1.0014996151244235,0.9879484852454732,1.0001883049180396,0.9761417668843977,0.9632014241320721,0.9761417668843977,0.9572583092830452,1.1103466819711363,0.9761417668843977,0.9761417668843977,0.9317601354249083,0.9916114438779808,0.9967988163933288,0.8593362262245072,0.9761417668843977,0.9289982029073931,0.7021016196615399,0.9761417668843977,1.024695970093948,0.9761417668843977,0.9761417668843977,0.9761417668843977,1.059832153684397,0.9761417668843977,0.9682032646576485,0.9761417668843977,0.9874693487772843,0.9975520360654867,0.9998116950819605,0.7295941376953043,0.9761417668843977,0.2099165964724743,0.9761417668843977,0.9761417668843977,0.9358089541615444,0.9761417668843977,0.9644346825123981,0.9913379737701838,1.0001883049180396,0.9761417668843977,0.9990736622860856,1.0216550655745404,0.9761417668843977,0.9761417668843977,0.9761417668843977,0.9953309512392766,0.9761417668843977,0.9890846188675282,0.9761417668843977,0.9835364445039159,0.8962604883973105,0.9932092640916987,0.9761417668843977,0.9649752852446564,1.0256094688533695,0.9761417668843977,1.0804062000028587,0.7021016196615399,0.9761417668843977,1.035846672117052,0.9802935506974788,0.9761417668843977,0.9748828436356408,1.0749643983602664,0.722061940973725,0.9761417668843977,0.9761417668843977,0.9761417668843977,0.9921450478735102,0.7295941376953043,1.0003969816237441,0.9761417668843977,1.0558272040303462,0.9761417668843977,1.0,0.9761417668843977,0.9761417668843977,1.0179372666421602,0.9475399179092286,0.9989890370444516,0.9761417668843977,0.9761417668843977,1.0003969816237441,0.9719425672121172,0.9761417668843977,0.964573863515133,0.9761417668843977,0.9761417668843977,0.9747916668922522,0.9761417668843977,1.0120676863583007,0.9761417668843977,0.9761417668843977,0.9156446473326754,0.7021016196615399,0.9761417668843977,0.9616328729494557,0.9761417668843977,1.0,0.9761417668843977,1.0001331516844765,0.9975520360654867,0.9761417668843977,0.9931694627091722,0.9994573326446163,0.9761417668843977,0.9909456854555984,0.9761417668843977,0.9802935506974788,0.9761417668843977,1.0268983180909323,0.9761417668843977,0.9761417668843977,0.9761417668843977,1.0090386360658952,0.9761417668843977,0.9761417668843977,0.9761417668843977,0.9105759775959497,0.9761417668843977,0.9761417668843977,0.9719425672121172,0.9761417668843977,0.9761417668843977,0.9761417668843977,1.0896637132151814,0.9761417668843977,0.9649752852446564,0.9761417668843977,0.9761417668843977,0.7653720721228059,0.9761417668843977,1.011602003442246,0.9761417668843977,0.9761417668843977,0.8870964659180616,0.999623390163921,0.9761417668843977,1.0001883049180396,0.9998116950819605,0.7295941376953043,0.9761417668843977,0.9761417668843977,0.9761417668843977,0.9761417668843977,0.9761417668843977,1.0,0.9761417668843977,0.9876829027378299,0.9719425672121172,0.9761417668843977,0.9761417668843977,1.0297393072053713,0.9719425672121172,0.9761417668843977,0.9761417668843977
boy,0.5885955814260544,1.033008215304712,1.0506683877259546,0.9999005307445525,1.0484774729681943,-4.440892098500626e-16,1.0353662697692922,1.0563338502965025,0.6044284272880357,1.0692847093137077,0.9930371521186814,0.9999005307445525,0.04820003438305143,0.6088767308321793,1.0,0.9999005307445525,0.5910112987883055,1.027629729042008,0.00988583965299572,0.6243046369523942,0.029763223378740267,0.615294871917872,0.9962359676580167,0.9999005307445525,1.0459092031632586,1.0381171951302963,1.012433656930926,0.9999005307445525,0.009827299077340146,0.5851322003602006,0.9625902453170554,1.0383879357456858,0.634320105206192,1.025344705246425,1.012433656930926,0.9999005307445525,0.629595487018749,1.0104285675175446,0.9999005307445525,0.9999005307445525,1.0330719782698368,0.998325192200746,0.6891203386761175,0.9999005307445525,0.9999005307445525,0.5049746720567281,1.012433656930926,0.9999005307445525,1.01035507913998,1.012433656930926,0.9999005307445525,1.0364527813499769,0.9936564824251621,0.9705027692005103,0.6951925175997552,0.9995026537227629,0.9999005307445525,1.0557875836473525,1.0576921681594973,0.9999005307445525,1.079245117107421,0.9999005307445525,0.6388436774497652,0.9303715211868138,0.9995026537227629,0.9999005307445525,1.0236936614352186,0.9999005307445525,1.028134154018576,1.000497346277237,0.9999005307445525,0.9999005307445525,1.0213207492517264,1.0,0.9995026537227629,1.0,0.9999005307445525,0.6101431957905761,1.0576921681594973,0.9999005307445525,1.0224591330006338,0.9999005307445525,0.9999005307445525,0.9999005307445525,0.9918989666562109,0.9999005307445525,1.059662715620635,0.9999005307445525,0.9604070503471349,0.7712207124709594,1.012931003208163,1.011438964376452,0.9999005307445525,1.00793984964917,0.9999005307445525,0.9999005307445525,1.0522008307992745,0.9999005307445525,0.6178152196570426,1.0581895144367341,1.0,0.9999005307445525,0.7330959797779628,1.0935011001205646,0.9999005307445525,0.9999005307445525,0.9999005307445525,0.9911188587584185,0.9999005307445525,1.0097235368474133,0.9999005307445525,0.5722825320389117,1.0244315615676016,1.0042201231027863,0.9999005307445525,1.022380582475667,0.9169431717014135,0.9999005307445525,1.0358089319610673,1.0576921681594973,0.9999005307445525,1.0528658110717424,0.994724846121517,0.9999005307445525,0.6788254829548952,0.9665906921029411,0.9930371521186814,0.9999005307445525,0.9999005307445525,0.9999005307445525,0.9876481538749668,1.011438964376452,0.6891203386761175,0.9999005307445525,1.0223032745331757,0.9999005307445525,1.0,0.9999005307445525,0.9999005307445525,1.0834075063193866,1.0485494702241391,1.033185904831772,0.9999005307445525,0.9999005307445525,0.6891203386761175,0.9930371521186814,0.9999005307445525,1.0011633506727269,0.9999005307445525,0.9999005307445525,1.0193972132697868,0.9999005307445525,0.9997128569929568,0.9999005307445525,0.9999005307445525,1.0282737645190128,1.0576921681594973,0.9999005307445525,1.025737669847017,0.9999005307445525,1.0,0.9999005307445525,0.9848778922150154,0.7712207124709594,0.9999005307445525,0.9846654512308155,0.9970310637806202,0.9999005307445525,1.008791923130805,0.9999005307445525,0.9950765230467492,0.9999005307445525,1.0551379829435417,0.9999005307445525,0.9999005307445525,0.9999005307445525,0.9313662137412878,0.9999005307445525,0.9999005307445525,0.9999005307445525,1.0363972935722288,0.9999005307445525,0.9999005307445525,0.9930371521186814,0.9999005307445525,0.9999005307445525,0.9999005307445525,1.0550236733638725,0.9999005307445525,1.022380582475667,0.9999005307445525,0.9999005307445525,1.0576921681594973,0.9999005307445525,0.9974570187868373,0.9999005307445525,0.9999005307445525,1.0071785751760816,1.0,0.9999005307445525,0.8159818774222933,1.012931003208163,1.011438964376452,0.9999005307445525,0.9999005307445525,0.9999005307445525,0.9999005307445525,0.9999005307445525,1.0,0.9999005307445525,1.0025682851320499,0.9930371521186814,0.9999005307445525,0.9999005307445525,1.0755503876344643,0.9930371521186814,0.9999005307445525,0.9999005307445525
